p1        	p2       	p3_1      	p3_2     	O            	D_12	D_1	D_2	Z_12	Z_1	Z_2	BABBA	ABBBA	BABAA	ABBAA	BAABA	ABABA	nloci	pdisc	notes
[FLSA185] 	[FLBA140]	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.173	0.074	0.212	5.49	1.28	4.51	433.80	615.53	133.29	154.45	148.24	228.07	9162	0.16	MVOS
[FLSA185] 	[FLBA140]	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.144	-0.029	0.159	4.10	0.44	3.04	425.05	568.07	147.48	139.17	147.92	203.78	8655	0.17	MVOS
[FLCK216] 	[LALC2]  	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.106	0.051	0.025	3.74	0.87	0.54	502.76	622.44	141.50	156.74	208.27	218.88	11006	0.15	MVOS
[FLCK216] 	[LALC2]  	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.084	0.081	0.013	2.68	1.52	0.26	476.95	564.46	132.64	155.92	197.45	202.67	10427	0.15	MVOS
[FLCK216] 	[FLBA140]	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.090	0.048	0.108	2.50	0.91	1.84	521.81	625.29	144.86	159.41	191.77	238.15	10061	0.16	MVOS
[FLCK216] 	[FLBA140]	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.066	0.037	0.054	2.04	0.66	0.93	512.29	585.14	145.35	156.58	193.29	215.49	9495	0.17	MVOS
[FLAB109] 	[LALC2]  	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.043	0.157	-0.152	1.90	2.68	3.76	716.41	781.36	174.51	239.69	358.31	263.49	14420	0.16	GVOS
[FLAB109] 	[LALC2]  	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.019	0.189	-0.146	0.74	3.87	3.42	662.70	688.15	152.35	223.21	314.59	234.31	13542	0.15	GVOS
[FLAB109] 	[FLBA140]	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.030	0.107	-0.036	1.12	1.96	0.85	713.07	757.76	164.85	204.55	315.82	294.04	13417	0.16	GVOS
[FLAB109] 	[FLBA140]	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.012	0.067	-0.091	0.40	1.22	2.40	667.15	683.64	169.59	194.03	293.57	244.48	12541	0.16	GVOS
[FLCK216] 	[FLAB109]	[HNDA09]  	[CUVN10] 	[DO,DU,AR,EN]	0.061	-0.135	0.172	1.94	2.29	3.36	493.35	557.10	146.99	112.01	164.85	233.37	10326	0.15	MGOS
[FLCK216] 	[FLAB109]	[MXSA3017]	[CUVN10] 	[DO,DU,AR,EN]	0.094	-0.025	0.123	2.99	0.39	2.43	443.70	535.69	137.90	131.24	170.44	218.15	9753	0.15	MGOS
